period_start,period_end,period_label,period_start_dt,period_end_dt
1530,1539,1530 - 1539,1530-01-01 00:00:00,1539-01-01 00:00:00
1540,1549,1540 - 1549,1540-01-01 00:00:00,1549-01-01 00:00:00
1550,1559,1550 - 1559,1550-01-01 00:00:00,1559-01-01 00:00:00
1560,1569,1560 - 1569,1560-01-01 00:00:00,1569-01-01 00:00:00
1570,1579,1570 - 1579,1570-01-01 00:00:00,1579-01-01 00:00:00
1580,1589,1580 - 1589,1580-01-01 00:00:00,1589-01-01 00:00:00
1590,1599,1590 - 1599,1590-01-01 00:00:00,1599-01-01 00:00:00
1600,1609,1600 - 1609,1600-01-01 00:00:00,1609-01-01 00:00:00
1610,1619,1610 - 1619,1610-01-01 00:00:00,1619-01-01 00:00:00
1620,1629,1620 - 1629,1620-01-01 00:00:00,1629-01-01 00:00:00
1630,1639,1630 - 1639,1630-01-01 00:00:00,1639-01-01 00:00:00
1640,1649,1640 - 1649,1640-01-01 00:00:00,1649-01-01 00:00:00
1650,1659,1650 - 1659,1650-01-01 00:00:00,1659-01-01 00:00:00
1660,1669,1660 - 1669,1660-01-01 00:00:00,1669-01-01 00:00:00
1670,1679,1670 - 1679,1670-01-01 00:00:00,1679-01-01 00:00:00
1680,1689,1680 - 1689,1680-01-01 00:00:00,1689-01-01 00:00:00
1690,1699,1690 - 1699,1690-01-01 00:00:00,1699-01-01 00:00:00
1700,1709,1700 - 1709,1700-01-01 00:00:00,1709-01-01 00:00:00
1710,1719,1710 - 1719,1710-01-01 00:00:00,1719-01-01 00:00:00
1720,1729,1720 - 1729,1720-01-01 00:00:00,1729-01-01 00:00:00
1730,1739,1730 - 1739,1730-01-01 00:00:00,1739-01-01 00:00:00
1740,1749,1740 - 1749,1740-01-01 00:00:00,1749-01-01 00:00:00
1750,1759,1750 - 1759,1750-01-01 00:00:00,1759-01-01 00:00:00
1760,1769,1760 - 1769,1760-01-01 00:00:00,1769-01-01 00:00:00
1770,1779,1770 - 1779,1770-01-01 00:00:00,1779-01-01 00:00:00
1780,1789,1780 - 1789,1780-01-01 00:00:00,1789-01-01 00:00:00
1790,1799,1790 - 1799,1790-01-01 00:00:00,1799-01-01 00:00:00
1800,1809,1800 - 1809,1800-01-01 00:00:00,1809-01-01 00:00:00
1810,1819,1810 - 1819,1810-01-01 00:00:00,1819-01-01 00:00:00
1820,1829,1820 - 1829,1820-01-01 00:00:00,1829-01-01 00:00:00
1830,1839,1830 - 1839,1830-01-01 00:00:00,1839-01-01 00:00:00
1840,1849,1840 - 1849,1840-01-01 00:00:00,1849-01-01 00:00:00
1850,1859,1850 - 1859,1850-01-01 00:00:00,1859-01-01 00:00:00
1860,1869,1860 - 1869,1860-01-01 00:00:00,1869-01-01 00:00:00
1870,1879,1870 - 1879,1870-01-01 00:00:00,1879-01-01 00:00:00
1880,1889,1880 - 1889,1880-01-01 00:00:00,1889-01-01 00:00:00
1890,1899,1890 - 1899,1890-01-01 00:00:00,1899-01-01 00:00:00
1900,1909,1900 - 1909,1900-01-01 00:00:00,1909-01-01 00:00:00
1910,1919,1910 - 1919,1910-01-01 00:00:00,1919-01-01 00:00:00
1920,1929,1920 - 1929,1920-01-01 00:00:00,1929-01-01 00:00:00
1930,1939,1930 - 1939,1930-01-01 00:00:00,1939-01-01 00:00:00
1940,1949,1940 - 1949,1940-01-01 00:00:00,1949-01-01 00:00:00
1950,1959,1950 - 1959,1950-01-01 00:00:00,1959-01-01 00:00:00
1960,1969,1960 - 1969,1960-01-01 00:00:00,1969-01-01 00:00:00
1970,1979,1970 - 1979,1970-01-01 00:00:00,1979-01-01 00:00:00
1980,1989,1980 - 1989,1980-01-01 00:00:00,1989-01-01 00:00:00
1990,1999,1990 - 1999,1990-01-01 00:00:00,1999-01-01 00:00:00
2000,2009,2000 - 2009,2000-01-01 00:00:00,2009-01-01 00:00:00
2010,2019,2010 - 2019,2010-01-01 00:00:00,2019-01-01 00:00:00
